Name,Surface,Price,Lieu,Chambres,Pièces,Etage
,,,,,,
,,,,N/A,,
,,,,N/A,,
,,,,,,
,,,,N/A,,
,,,,,,
,,,,,,
,,,,,,
,,,,N/A,,
,,,,,,
,,,,,,
,,,,,,
,,,,N/A,,
Appartement à louer,"80,6 m²",3 300 € /mois,"Auteuil Nord, Paris 16ème (75016)",2 chambres,4 pièces,6ème étage
Appartement à louer,"106,6 m²",3 425 € /mois,"Auteuil Nord, Paris 16ème (75016)",3 chambres,4 pièces,7ème étage
Appartement à louer,"43,9 m²",2 240 € /mois,"Montsouris Dareau, Paris 14ème (75014)",1 chambre,2 pièces,3ème étage
Appartement à louer,"244,3 m²",9 635 € /mois,"Gros Caillou, Paris 7ème (75007)",3 chambres,6 pièces,
Appartement à louer,"103,1 m²",3 830 € /mois,"Ecole Militaire, Paris 7ème (75007)",2 chambres,4 pièces,
Appartement à louer,"104,5 m²",4 500 € /mois,"Invalides, Paris 7ème (75007)",2 chambres,3 pièces,1er étage
Appartement à louer,"141,3 m²",6 300 € /mois,"Invalides, Paris 7ème (75007)",2 chambres,5 pièces,3ème étage
Appartement à louer,80 m²,2 527 € /mois,"Vaugirard-Parc des Expositions, Paris 15ème (75015)",2 chambres,4 pièces,5ème étage
Appartement à louer,101 m²,4 080 € /mois,"Vaugirard-Parc des Expositions, Paris 15ème (75015)",3 chambres,4 pièces,8ème étage
Appartement à louer,"65,5 m²",2 495 € /mois,"Saint Philippe du Roule, Paris 8ème (75008)",1 chambre,2 pièces,5ème étage
Studio à louer - logement étudiant,18 m²,994 € /mois,"Sorbonne, Paris 5ème (75005)",N/A,1 pièce,2ème étage
Appartement à louer - Première occupation,"70,1 m²",3 450 € /mois,"Muette Sud, Paris 16ème (75016)",2 chambres,3 pièces,N/A
Appartement à louer - Première occupation,45 m²,2 780 € /mois,"Grandes Carrières-Clichy, Paris 18ème (75018)",1 chambre,2 pièces,3ème étage
Appartement à louer - Première occupation,"53,3 m²",4 360 € /mois,"Saint Germain des Prés, Paris 7ème (75007)",2 chambres,3 pièces,N/A
Appartement à louer,87 m²,4 300 € /mois,"Porte Dauphine, Paris 16ème (75016)",2 chambres,3 pièces,
Appartement à louer,"105,6 m²",4 600 € /mois,"Saint Lambert, Paris 15ème (75015)",3 chambres,5 pièces,
Appartement à louer,34 m²,1 720 € /mois,"Provence Opéra, Paris 9ème (75009)",N/A,1 pièce,N/A
Appartement à louer,52 m²,2 200 € /mois,"Muette Nord, Paris 16ème (75016)",1 chambre,2 pièces,
Appartement à louer,129 m²,5 190 € /mois,"Rennes, Paris 6ème (75006)",3 chambres,5 pièces,
Appartement à louer,37 m²,1 300 € /mois,"Vaugirard-Parc des Expositions, Paris 15ème (75015)",2 chambres,2 pièces,RDC
Appartement à louer,52 m²,2 270 € /mois,"Auteuil Nord, Paris 16ème (75016)",1 chambre,2 pièces,2ème étage
Appartement à louer,24 m²,950 € /mois,"Saint Blaise, Paris 20ème (75020)",N/A,1 pièce,6ème étage
Appartement à louer - Première occupation,35 m²,2 040 € /mois,"République-Saint Ambroise, Paris 11ème (75011)",1 chambre,2 pièces,N/A
Appartement à louer - Première occupation,45 m²,2 750 € /mois,"Ecole Militaire, Paris 7ème (75007)",1 chambre,2 pièces,N/A
Appartement à louer - Première occupation,80 m²,3 420 € /mois,"Auteuil Sud, Paris 16ème (75016)",2 chambres,3 pièces,N/A
Appartement à louer,"23,5 m²",1 012 € /mois,"Bastille-Popincourt, Paris 11ème (75011)",N/A,1 pièce,
Appartement à louer,95 m²,5 800 € /mois,"Invalides, Paris 6ème (75006)",2 chambres,4 pièces,
Appartement à louer,"60,1 m²",2 650 € /mois,"Monnaie, Paris 6ème (75006)",2 chambres,3 pièces,
Appartement à louer,95 m²,3 200 € /mois,"Vaugirard-Parc des Expositions, Paris 15ème (75015)",3 chambres,4 pièces,6ème étage
Appartement à louer,309 m²,17 000 € /mois,"Muette Nord, Paris 16ème (75016)",3 chambres,5 pièces,3ème étage
Appartement à louer - Première occupation,"46,5 m²",3 340 € /mois,"Invalides, Paris 7ème (75007)",1 chambre,2 pièces,N/A
Appartement à louer,281 m²,8 601 € /mois,"Hoche-Friedland, Paris 8ème (75008)",4 chambres,7 pièces,3ème étage
Appartement à louer - Première occupation,35 m²,2 500 € /mois,"Gros Caillou, Paris 7ème (75007)",1 chambre,2 pièces,N/A
