Name,Surface,Price,Lieu,Chambres,Pièces,Etage,Code_postal,Arrondissement
Appartement à louer,80.6,3300,"Auteuil Nord, Paris 16ème (75016)",2.0,4.0,6.0,75016,16.0
Appartement à louer,106.6,3425,"Auteuil Nord, Paris 16ème (75016)",3.0,4.0,7.0,75016,16.0
Appartement à louer,43.9,2240,"Montsouris Dareau, Paris 14ème (75014)",1.0,2.0,3.0,75014,14.0
Appartement à louer,244.3,9635,"Gros Caillou, Paris 7ème (75007)",3.0,6.0,,75007,7.0
Appartement à louer,103.1,3830,"Ecole Militaire, Paris 7ème (75007)",2.0,4.0,,75007,7.0
Appartement à louer,104.5,4500,"Invalides, Paris 7ème (75007)",2.0,3.0,1.0,75007,7.0
Appartement à louer,141.3,6300,"Invalides, Paris 7ème (75007)",2.0,5.0,3.0,75007,7.0
Appartement à louer,80.0,2527,"Vaugirard-Parc des Expositions, Paris 15ème (75015)",2.0,4.0,5.0,75015,15.0
Appartement à louer,101.0,4080,"Vaugirard-Parc des Expositions, Paris 15ème (75015)",3.0,4.0,8.0,75015,15.0
Appartement à louer,65.5,2495,"Saint Philippe du Roule, Paris 8ème (75008)",1.0,2.0,5.0,75008,8.0
Studio à louer - logement étudiant,18.0,994,"Sorbonne, Paris 5ème (75005)",0.0,1.0,2.0,75005,5.0
Appartement à louer - Première occupation,70.1,3450,"Muette Sud, Paris 16ème (75016)",2.0,3.0,,75016,16.0
Appartement à louer - Première occupation,45.0,2780,"Grandes Carrières-Clichy, Paris 18ème (75018)",1.0,2.0,3.0,75018,18.0
Appartement à louer - Première occupation,53.3,4360,"Saint Germain des Prés, Paris 7ème (75007)",2.0,3.0,,75007,7.0
Appartement à louer,87.0,4300,"Porte Dauphine, Paris 16ème (75016)",2.0,3.0,,75016,16.0
Appartement à louer,105.6,4600,"Saint Lambert, Paris 15ème (75015)",3.0,5.0,,75015,15.0
Appartement à louer,34.0,1720,"Provence Opéra, Paris 9ème (75009)",0.0,1.0,,75009,9.0
Appartement à louer,52.0,2200,"Muette Nord, Paris 16ème (75016)",1.0,2.0,,75016,16.0
Appartement à louer,129.0,5190,"Rennes, Paris 6ème (75006)",3.0,5.0,,75006,6.0
Appartement à louer,37.0,1300,"Vaugirard-Parc des Expositions, Paris 15ème (75015)",2.0,2.0,,75015,15.0
Appartement à louer,52.0,2270,"Auteuil Nord, Paris 16ème (75016)",1.0,2.0,2.0,75016,16.0
Appartement à louer,24.0,950,"Saint Blaise, Paris 20ème (75020)",0.0,1.0,6.0,75020,20.0
Appartement à louer - Première occupation,35.0,2040,"République-Saint Ambroise, Paris 11ème (75011)",1.0,2.0,,75011,11.0
Appartement à louer - Première occupation,45.0,2750,"Ecole Militaire, Paris 7ème (75007)",1.0,2.0,,75007,7.0
Appartement à louer - Première occupation,80.0,3420,"Auteuil Sud, Paris 16ème (75016)",2.0,3.0,,75016,16.0
Appartement à louer,23.5,1012,"Bastille-Popincourt, Paris 11ème (75011)",0.0,1.0,,75011,11.0
Appartement à louer,95.0,5800,"Invalides, Paris 6ème (75006)",2.0,4.0,,75006,6.0
Appartement à louer,60.1,2650,"Monnaie, Paris 6ème (75006)",2.0,3.0,,75006,6.0
Appartement à louer,95.0,3200,"Vaugirard-Parc des Expositions, Paris 15ème (75015)",3.0,4.0,6.0,75015,15.0
Appartement à louer,309.0,17000,"Muette Nord, Paris 16ème (75016)",3.0,5.0,3.0,75016,16.0
Appartement à louer - Première occupation,46.5,3340,"Invalides, Paris 7ème (75007)",1.0,2.0,,75007,7.0
Appartement à louer,281.0,8601,"Hoche-Friedland, Paris 8ème (75008)",4.0,7.0,3.0,75008,8.0
Appartement à louer - Première occupation,35.0,2500,"Gros Caillou, Paris 7ème (75007)",1.0,2.0,,75007,7.0
Appartement à louer,42.0,1660,"Alleray Procession, Paris 15ème (75015)",1.0,2.0,2.0,75015,15.0
Appartement à louer,31.2,1530,"Odéon, Paris 6ème (75006)",1.0,2.0,,75006,6.0
Appartement à louer,45.0,1780,"Emeriau-Zola, Paris 15ème (75015)",1.0,2.0,1.0,75015,15.0
Appartement à louer,59.5,2900,"Saint Lambert, Paris 15ème (75015)",2.0,3.0,,75015,15.0
Appartement à louer,106.2,4000,"Invalides, Paris 7ème (75007)",2.0,3.0,,75007,7.0
Appartement à louer,36.0,2200,"Citroën-Boucicaut, Paris 15ème (75015)",1.0,2.0,,75015,15.0
Appartement à louer,270.0,14000,"Muette Nord, Paris 16ème (75116)",6.0,8.0,,75116,16.0
Appartement à louer,36.0,1300,"Montmartre, Paris 18ème (75018)",1.0,2.0,,75018,18.0
Appartement à louer,139.0,12000,"Triangle d'Or, Paris 8ème (75008)",3.0,5.0,4.0,75008,8.0
Appartement à louer,141.0,8500,"Muette Sud, Paris 16ème (75016)",1.0,3.0,11.0,75016,16.0
Appartement à louer,204.0,10000,"Muette Nord, Paris 16ème (75116)",3.0,6.0,1.0,75116,16.0
Appartement à louer,29.0,1200,"La Chapelle-Marx Dormoy, Paris 18ème (75018)",1.0,2.0,2.0,75018,18.0
Appartement à louer,69.0,2700,"Les Halles, Paris 1er (75001)",2.0,3.0,,75001,1.0
Appartement à louer,77.0,2900,"Bastille-Popincourt, Paris 11ème (75011)",2.0,3.0,4.0,75011,11.0
Appartement à louer - Première occupation,81.0,3100,"Dupleix-Motte Picquet, Paris 15ème (75015)",1.0,3.0,,75015,15.0
Studio à louer,27.0,970,"Violet Commerce, Paris 15ème (75015)",0.0,1.0,,75015,15.0
Appartement à louer,205.9,5140,"Clignancourt-Jules Joffrin, Paris 18ème (75018)",3.0,4.0,,75018,18.0
Appartement à louer,78.0,2900,"Pasteur Montparnasse, Paris 15ème (75015)",2.0,3.0,2.0,75015,15.0
Appartement à louer,140.0,8300,"Triangle d'Or, Paris 8ème (75008)",2.0,4.0,2.0,75008,8.0
Appartement à louer,73.0,2400,"Vaugirard-Parc des Expositions, Paris 15ème (75015)",2.0,3.0,3.0,75015,15.0
Appartement à louer - Première occupation,138.0,6030,"Chaillot, Paris 16ème (75116)",4.0,5.0,,75116,16.0
Appartement à louer,262.0,15650,"Chaillot, Paris 16ème (75116)",4.0,6.0,,75116,16.0
Appartement à louer,35.0,1875,"Archives, Paris 3ème (75003)",1.0,2.0,,75003,3.0
Appartement à louer,236.0,10000,"Muette Nord, Paris 16ème (75016)",3.0,6.0,,75016,16.0
Appartement à louer,102.0,15000,"Notre Dame des Champs, Paris 6ème (75006)",2.0,3.0,,75006,6.0
Appartement à louer,61.0,2600,"Chaillot, Paris 16ème (75016)",1.0,2.0,4.0,75016,16.0
Appartement à louer - Première occupation,51.0,2700,"Buttes Chaumont, Paris 19ème (75019)",1.0,2.0,,75019,19.0
Appartement à louer,38.0,1496,"Bel-Air Sud, Paris 12ème (75012)",1.0,2.0,3.0,75012,12.0
Appartement à louer,50.0,3410,"Saint Gervais, Paris 4ème (75004)",2.0,3.0,,75004,4.0
Appartement à louer,31.0,1500,"Vaugirard-Parc des Expositions, Paris 15ème (75015)",0.0,1.0,5.0,75015,15.0
Appartement à louer,43.0,1950,"Montmartre, Paris 18ème (75018)",1.0,2.0,,75018,18.0
