Logement,Name,Type,Surface,Price,Lieu,Chambres,Pièces,Etage
Logement en résidence,Canvas Ivry sur Seine,Silver Studio de 18m² à 19m²,18-19 m²,"entre
1103€
et
1222€","2 allée Katherine Johnson, 94200 Ivry-sur-Seine, France",N/A,N/A,N/A
Logement en résidence,Canvas Ivry sur Seine,Gold Studio de 18m² à 21m²,18-21 m²,"entre
1182€
et
1279€","2 allée Katherine Johnson, 94200 Ivry-sur-Seine, France",N/A,N/A,N/A
Logement en résidence,Canvas Ivry sur Seine,Platinum Studio de 20m² à 22m²,20-22 m²,"entre
1282€
et
1393€","2 allée Katherine Johnson, 94200 Ivry-sur-Seine, France",N/A,N/A,N/A
Logement en résidence,Canvas Ivry sur Seine,Platinum Studio Accesible de 24m² à 25m²,24-25 m²,"entre
1308€
et
1405€","2 allée Katherine Johnson, 94200 Ivry-sur-Seine, France",N/A,N/A,N/A
Logement en résidence,Canvas Ivry sur Seine,Bronze Studio de 16m² à 18m²,16-18 m²,"entre
965€
et
1062€","2 allée Katherine Johnson, 94200 Ivry-sur-Seine, France",N/A,N/A,N/A
Logement en résidence,Canvas Ivry sur Seine,Diamond Studio de 25m²,25 m²,"entre
1356€
et
1519€","2 allée Katherine Johnson, 94200 Ivry-sur-Seine, France",N/A,N/A,N/A
Logement en résidence,Résidence Paris Pasteur,Coliving (mixte) de 10m² à 14m²,10-14 m²,"entre
990€
et
1060€","85 Boulevard Pasteur, 75015 Paris, France",N/A,N/A,N/A
Logement en résidence,Résidence Paris Pasteur,Studio de 32m²,32 m²,"entre
1350€
et
1400€","85 Boulevard Pasteur, 75015 Paris, France",N/A,N/A,N/A
Logement en résidence,Canvas Puteaux La Défense,Studio Silver de 19m² à 20m²,19-20 m²,"entre
1184€
et
1325€","60 Avenue du Général de Gaulle, Puteaux, France",N/A,N/A,N/A
Logement en résidence,Canvas Puteaux La Défense,Studio Gold de 20m² à 24m²,20-24 m²,"entre
1175€
et
1368€","60 Avenue du Général de Gaulle, Puteaux, France",N/A,N/A,N/A
Logement en résidence,Canvas Puteaux La Défense,Studio Platinum de 23m² à 27m²,23-27 m²,"entre
1261€
et
1461€","60 Avenue du Général de Gaulle, Puteaux, France",N/A,N/A,N/A
Logement en résidence,Canvas Puteaux La Défense,Studio Bronze de 18m² à 19m²,18-19 m²,"entre
1104€
et
1292€","60 Avenue du Général de Gaulle, Puteaux, France",N/A,N/A,N/A
Logement en résidence,Canvas Puteaux La Défense,Studio Platinum PMR de 25m² à 27m²,25-27 m²,"entre
1589€
et
1736€","60 Avenue du Général de Gaulle, Puteaux, France",N/A,N/A,N/A
Logement en résidence,Canvas Puteaux La Défense,Studio Diamond de 33m²,33 m²,1601€,"60 Avenue du Général de Gaulle, Puteaux, France",N/A,N/A,N/A
Logement en résidence,Canvas Puteaux La Défense,Studio Diamond PMR de 32m² à 38m²,32-38 m²,"entre
2004€
et
2091€","60 Avenue du Général de Gaulle, Puteaux, France",N/A,N/A,N/A
Logement en résidence,Canvas Puteaux La Défense,T2 Bronze de 25m² à 32m²,25-32 m²,"entre
1905€
et
2165€","60 Avenue du Général de Gaulle, Puteaux, France",N/A,N/A,N/A
Logement en résidence,Canvas Puteaux La Défense,T2 Silver de 33m² à 34m²,33-34 m²,"entre
1946€
et
2097€","60 Avenue du Général de Gaulle, Puteaux, France",N/A,N/A,N/A
Logement en résidence,Canvas Puteaux La Défense,T2 Silver PMR de 33m²,33 m²,"entre
1900€
et
2041€","60 Avenue du Général de Gaulle, Puteaux, France",N/A,N/A,N/A
Logement en résidence,Canvas Puteaux La Défense,T2 Platinum PMR de 53m²,53 m²,"entre
1899€
et
2018€","60 Avenue du Général de Gaulle, Puteaux, France",N/A,N/A,N/A
Logement en colocation,Logement en colocation pour 4 personnes de 105m²,Chambre 1 de 15m2,15 m²,895€,"69 Rue de la Chapelle, 75018 Paris, France",N/A,N/A,N/A
Logement en colocation,Logement en colocation pour 4 personnes de 105m²,Chambre 2 de 15m2,15 m²,895€,"69 Rue de la Chapelle, 75018 Paris, France",N/A,N/A,N/A
Logement en colocation,Logement en colocation pour 4 personnes de 105m²,Chambre 3 de 15m2,15 m²,895€,"69 Rue de la Chapelle, 75018 Paris, France",N/A,N/A,N/A
Logement en colocation,Logement en colocation pour 4 personnes de 105m²,Chambre 4 de 15m2,15 m²,895€,"69 Rue de la Chapelle, 75018 Paris, France",N/A,N/A,N/A
Logement entier,Studio de 28m²,Logement entier,28 m²,N/A,"9 Rue Eva Kotchever, 75018 Paris, France",N/A,N/A,N/A
Logement entier,Studio de 28m²,Logement entier,28 m²,N/A,"9 Rue Eva Kotchever, 75018 Paris, France",N/A,N/A,N/A
Logement entier,Logement entier pour 2 personnes de 95m²,Logement entier,95 m²,N/A,"5 Rue du Maréchal Gallieni, 78100 Saint-Germain-en-Laye, France",N/A,N/A,N/A
Logement en colocation,Logement en colocation pour 4 personnes de 74m²,Chambre 2 de 12m2,12 m²,895€,"4 Rue des Cheminots, 75018 Paris, France",N/A,N/A,N/A
Logement en colocation,Logement en colocation pour 4 personnes de 74m²,Chambre 4 de 12m2,12 m²,895€,"4 Rue des Cheminots, 75018 Paris, France",N/A,N/A,N/A
Logement en colocation,Logement en colocation pour 4 personnes de 74m²,Chambre 3 de 12m2,12 m²,895€,"4 Rue des Cheminots, 75018 Paris, France",N/A,N/A,N/A
Logement en colocation,Logement en colocation pour 4 personnes de 74m²,Chambre 1 de 10m2,10 m²,895€,"4 Rue des Cheminots, 75018 Paris, France",N/A,N/A,N/A
Logement entier,Studio de 14m²,Logement entier,14 m²,N/A,"265 Rue du Faubourg Saint-Martin, 75010 Paris, France",N/A,N/A,N/A
Logement entier,Studio de 14m²,Logement entier,14 m²,N/A,"265 Rue du Faubourg Saint-Martin, 75010 Paris, France",N/A,N/A,N/A
Logement entier,Logement entier pour 3 personnes de 31m²,Logement entier,31 m²,N/A,"77 Bd de la Villette, 75010 Paris, France",N/A,N/A,N/A
Logement entier,Studio de 14m²,Logement entier,14 m²,N/A,"265 Rue du Faubourg Saint-Martin, 75010 Paris, France",N/A,N/A,N/A
